pain_point,department,system_category,problem_genre,root_cause_type,communication_aspect,resource_type,healing_condition_needed,impact_severity,affected_workflows
Zero portfolio visibility - 165 projects on whiteboard,PMO; Executive,Project Management,Information Architecture; Visibility Gap,Lack of Information; Lack of System,Status Awareness; Strategic Communication,Data/Information Access,Unified Portfolio Dashboard; Real-time Visibility System; Standardized Reporting,Critical,Executive Reporting; Resource Allocation; Priority Management
No executive reporting capability,PMO; Executive; C-Suite,Project Management; Business Intelligence,Communication Gap; Information Architecture,Lack of Information; Lack of System,Status Updates; Strategic Communication; Awareness,Data/Information Access,Executive Dashboard; Automated Status Reporting; KPI Tracking,Critical,Leadership Decision Making; Strategic Planning; Governance
Arbitrary priority assignments - everything is #1,PMO; All Departments,Project Management; Governance,Decision Framework Gap; Process Failure,Lack of Process; Lack of Framework,Priority Clarity; Expectation Setting,Decision Support Tools,Weighted Prioritization Matrix; Objective Evaluation Framework; Stakeholder Alignment Process,High,Resource Allocation; Project Planning; Stakeholder Management
No project interdependency tracking,PMO; IT Operations,Project Management,Visibility Gap; Risk Management Failure,Lack of Documentation; Lack of System,Impact Awareness; Change Communication,System Integration; Data/Information Access,Dependency Mapping System; Impact Analysis Tools; Automated Notifications,Critical,Project Planning; Change Management; Risk Management
"Inconsistent project documentation - 10 lines vs 1,700 lines",PMO; All Project Teams,Project Management; Knowledge Management,Standardization Failure; Quality Control Gap,Lack of Standards; Lack of Training,Information Quality; Knowledge Transfer,Templates; Training; Standards,Standardized Templates; Quality Gates; PM Training Program; Documentation Standards,High,Project Planning; Knowledge Transfer; Onboarding
All HQ switches end-of-life - eBay emergency purchases,IT Operations; Infrastructure,IT Infrastructure; Asset Management,Proactive Planning Failure; Risk Management Gap,Lack of Planning; Lack of Information,Risk Awareness; Escalation,Asset Tracking System; Planning Tools,Asset Lifecycle Management; EOL Tracking & Alerts; Proactive Refresh Planning,Critical,Infrastructure Management; Risk Management; Budget Planning
Complete absence of documentation - no network maps/configs,IT Operations; Network Engineering,IT Infrastructure; Knowledge Management,Knowledge Gap; Risk Management Failure,Lack of Documentation; Lack of Process,Knowledge Preservation; Operational Continuity,Documentation System; Knowledge Base,Automated Discovery Tools; Configuration Management Database; Documentation Standards,Critical,Change Management; Incident Response; Disaster Recovery
No proactive technology planning,IT Operations; IT Leadership,IT Strategy; Infrastructure,Strategic Planning Gap; Reactive Culture,Lack of Process; Lack of Resources,Strategic Alignment; Forward Planning,Planning Tools; Forecasting Capability,Technology Roadmap; Capacity Planning; Strategic Planning Cadence,High,Strategic Planning; Budget Planning; Technology Management
Failed DR capabilities - 100% downtime in DR test,IT Operations; Business Continuity,IT Infrastructure; Disaster Recovery,Risk Management Failure; Resilience Gap,Lack of Planning; Lack of Testing,Risk Communication; Business Impact Awareness,DR Systems; Testing Framework,DR/BCP Strategy; Failover Systems; Regular Testing Program,Critical,Business Continuity; Risk Management; Operations
Reactive procurement hemorrhaging $500K,Procurement; Finance,Procurement; ERP/Financial,Cost Control Failure; Process Failure,Lack of Planning; Lack of Controls,Budget Awareness; Approval Process,Procurement Process; Budget Controls,Proactive Procurement Planning; Vendor Management System; Budget Controls & Approval Workflows,Critical,Procurement; Budget Management; Vendor Management
Vendors exploiting lack of planning - premium rates for junior engineers,Procurement; Vendor Management,VMS; Procurement,Cost Control Failure; Vendor Relationship Gap,Lack of Negotiation Power; Lack of Planning,Contract Clarity; Performance Management,Vendor Management System; Rate Cards,Strategic Vendor Partnerships; Rate Card Standards; Competitive Bidding Process,High,Vendor Management; Cost Management; Procurement
No negotiation power - artificial urgency,Procurement; PMO,Procurement; Project Management,Strategic Planning Gap; Process Failure,Lack of Planning; Lack of Time,Requirement Forecasting; Lead Time Management,Planning Tools; Lead Time Data,Forward Planning (3-6 month horizon); Demand Forecasting; Strategic Sourcing,High,Procurement; Cost Management; Vendor Negotiation
Emergency SOWs without price consideration,Procurement; PMO,Procurement; VMS,Process Failure; Cost Control Gap,Lack of Process; Lack of Controls,Approval Process; Cost Awareness,SOW Templates; Approval Workflows,SOW Automation; Approval Workflows; Cost Control Gates,Critical,Procurement; Project Initiation; Cost Management
Entirely reactive resource allocation - PMs buried,HR/Talent; PMO,HRIS; Resource Management,Capacity Planning Gap; Workload Visibility Gap,Lack of Visibility; Lack of Planning,Workload Awareness; Capacity Communication,Resource Planning Tools; Capacity Data,Resource Capacity Planning Tool; Workload Visibility Dashboard; Proactive Allocation Process,Critical,Resource Management; Workforce Planning; Project Staffing
No advance resource forecasting - need someone now requests,HR/Talent; PMO,HRIS; ATS/VMS,Planning Gap; Visibility Gap,Lack of Forecasting; Lack of Lead Time,Demand Forecasting; Lead Time Planning,Forecasting Tools; Pipeline Visibility,Demand Forecasting (3-6 months); Pipeline Management; Proactive Recruiting,High,Workforce Planning; Recruiting; Resource Allocation
Manual monthly capacity planning - 15 hours/week across PMs,PMO; Operations,Project Management; Resource Management,Manual Process Waste; Efficiency Gap,Lack of Automation; Lack of Integration,Time Waste; Efficiency,Automation Tools; Integration,Automated Capacity Planning; Integrated Resource Management; Real-time Data Sync,High,Resource Planning; Administrative Tasks; Reporting
Hallway project assignments - casual conversations,PMO; Leadership,Project Management; Governance,Process Failure; Governance Gap,Lack of Process; Lack of Formalization,Formal Communication; Process Adherence,Intake Process; Workflow System,Formal Project Intake Process; Request Management System; Governance Framework,High,Project Initiation; Governance; Resource Allocation
Manual PowerPoint status compilation,PMO; All Project Teams,Project Management; Reporting,Manual Process Waste; Efficiency Gap,Lack of Automation; Lack of Integration,Reporting Efficiency; Data Accuracy,Automation Tools; BI System,Automated Dashboard Reporting; Real-time Data Integration; Self-Service BI,High,Status Reporting; Executive Communication; Administrative Tasks
Zero knowledge management - P1 incidents relearned repeatedly,IT Operations; All Departments,Knowledge Management; ITSM,Knowledge Gap; Efficiency Loss,Lack of Documentation; Lack of System,Knowledge Sharing; Learning,Knowledge Base; Documentation System,Searchable Knowledge Base; Incident Documentation Workflow; Lessons Learned Process,High,Incident Management; Problem Management; Training
No onboarding structure - laptop and good luck,HR/Talent; PMO,HRIS; Knowledge Management,Process Failure; Training Gap,Lack of Process; Lack of Standards,Onboarding Communication; Expectation Setting,Onboarding Program; Training Materials,Structured Onboarding Program; Standardized Training; Mentorship Framework,High,Onboarding; Training; Knowledge Transfer
No change management process - single switch impacts 19 sites,IT Operations; Change Management,ITSM; IT Infrastructure,Process Failure; Risk Management Gap,Lack of Process; Lack of Documentation,Impact Communication; Change Notification,Change Management System; Notification Tools,Formal Change Management Process; Impact Analysis; Automated Stakeholder Notification,Critical,Change Management; Incident Prevention; Communication
