Category,What It Includes,Price Range,Best Application,Monthly Revenue Potential,Target Customer,Key Success Factors
Free Plugins,"Unity, Unreal, MotionBuilder, Live Link, OpenXR, ROS2 plugins",Free (with Core license),Enable all development work; required for commercial projects,N/A - enables billable work,All Manus users and developers,"Quality integration, good documentation, community support"
Paid Software,Manus Core annual or perpetual license; SDK feature license,"$500-5,000/year or one-time",Commercial operations; enterprise; long-term projects,N/A - cost of doing business,"Commercial users, studios, enterprises, researchers","Reliable licensing, good support, fair pricing, clear terms"
Hardware - Entry Level,"Manus Prime 3 gloves (10hr battery, flex sensors)","$4,000-7,000","VR training, enterprise apps, education, indie game dev, research","$10,000-50,000 (enables service revenue)","SMBs, training depts, schools, indie studios, research labs","Reliability, ease of use, quick ROI, strong support"
Hardware - Professional,"Manus Quantum Metagloves (electromagnetic, drift-free, film-quality)","$9,000/pair","Film/VFX, high-end mocap, precision research, AAA games","$25,000-150,000 (premium service rates)","Film studios, professional mocap, VFX houses, research institutions","Precision, reliability, support, compatible ecosystem"
Hardware - Premium,Xsens Prime 3 integration (full-body + fingers synchronized),"$6,000-8,000/pair + Xsens system","Full-body mocap studios, sports analysis, biomechanics","$30,000-150,000 (full-service mocap)","Production studios, professional mocap facilities, universities","Seamless integration, comprehensive workflow, proven results"
Complete Training Setup,Gloves + HMD + Core license + training content development,"$15,000-50,000","Corporate training departments, educational institutions","$15,000-75,000 (3-5 projects/month)","Mid-large corporations, healthcare, manufacturing, education","Clear ROI metrics, effective content, measurable outcomes, support"
Complete Mocap Studio,Quantum gloves + optical tracking + Polygon + software + workstation,"$75,000-200,000","Professional animation, film/TV production, game studios","$25,000-150,000 (daily rates + projects)","Film/TV production, AAA games, advertising, sports science","Quality output, efficient workflows, client relationships, portfolio"
Complete Robotics Lab,Gloves + robotic hand + SDK + ROS2 integration + teleoperation system,"$40,000-150,000","Robotics research, teleoperation, automation, AI/ML training","$20,000-100,000 (consulting + integration)","Universities, automation companies, defense, medical robotics","Technical expertise, successful integrations, research publications"
Hourly Services - Basic,"VR development, basic consulting, content creation",$100-200/hour,"Junior consulting, basic development, support services","$8,000-32,000 (40-160 billable hours)","SMBs, startups, educational institutions, local businesses","Reliability, communication, skill breadth, client relationships"
Hourly Services - Advanced,"Mocap services, robotics consulting, virtual production, specialized development",$200-600/hour,"Expert consulting, production services, specialized integration","$16,000-96,000 (80-160 billable hours)","Enterprises, production studios, specialized industries","Deep expertise, portfolio, reputation, network, specialization"
Project Services - Small,"Interactive demos, simple training modules, proof-of-concepts","$5,000-40,000","Pilots, POCs, simple applications, quick wins","$5,000-40,000 (1-3 projects/month)","Startups, SMBs, departmental budgets, pilots","Fast delivery, clear value, references, niche expertise"
Project Services - Large,"Full training programs, film production, complex integrations, enterprise apps","$40,000-300,000","Enterprise solutions, major productions, complex systems","$40,000-300,000 (1-3 major projects)","Fortune 500, film studios, government, major institutions","Project management, quality delivery, risk mitigation, relationships"
Recurring Revenue - Licensing,"Content licensing, asset libraries, training module subscriptions",$50-500/license or seat/month,"Passive income, scalable content, digital products","$5,000-50,000 (depending on library size)","Developers, training depts, content creators, institutions","Content quality, marketing, distribution, support, updates"
Recurring Revenue - SaaS,"Collaboration platforms, training platforms, data services","$1,000-10,000/month MRR","Subscription business, platform model, recurring relationships","$10,000-100,000+ (user base dependent)","Enterprises, platforms, institutions, service businesses","Platform quality, user acquisition, retention, feature velocity"
